MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	0.27924233902349	0.009	NA	NA	0	0.310344827586207	NA	SPRR2F
NA	NA	0.350985454302033	0.08	NA	NA	0	0.0459770114942529	NA	REG1A
NA	NA	0.139480937533582	0.27	NA	NA	0	0.0689655172413793	NA	GSTM1
NA	NA	0.141593020897533	0.119	NA	NA	0	0.275862068965517	NA	ITLN1
NA	NA	0.117971937945774	0.305	NA	NA	0	0.0689655172413793	NA	PCP4
NA	NA	0.157331330060852	0.191	NA	NA	0	0.103448275862069	NA	FOSB
NA	NA	0.166206429388956	0.117	NA	NA	0	0.195402298850575	NA	BCHE
NA	NA	0.11051582867594	0.322	NA	NA	0	0.0689655172413793	NA	SYT4
NA	NA	0.00200461936203652	0.493	NA	NA	0	0.0689655172413793	NA	SLC28A3
NA	NA	NA	NA	NA	NA	NA	NA	NA	BARX2
NA	NA	0.127527018592302	0.22	NA	NA	0	0.103448275862069	NA	HSD3B1
NA	NA	0.140815843886217	0.117	NA	NA	0	0.252873563218391	NA	HOXB13
NA	NA	0.206834262627226	0.04	NA	NA	0	0.28735632183908	NA	C4BPA
NA	NA	NA	NA	NA	NA	NA	NA	NA	AKR1B10
NA	NA	NA	NA	NA	NA	NA	NA	NA	MGST1
NA	NA	0.16355860212414	0.192	NA	NA	0	0.0919540229885057	NA	NLRP2
NA	NA	0.0232482501444727	0.456	NA	NA	0	0.126436781609195	NA	NNAT
NA	NA	0.0518281287514854	0.363	NA	NA	0	0.195402298850575	NA	KRT7
NA	NA	NA	NA	NA	NA	NA	NA	NA	TBC1D3G
NA	NA	NA	NA	NA	NA	NA	NA	NA	KRT17
NA	NA	0.227331873363385	0.057	NA	NA	0	0.172413793103448	NA	DSCAML1
NA	NA	0.0790427210570606	0.323	NA	NA	0	0.160919540229885	NA	SAA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZFP42
NA	NA	0.154589602231189	0.267	NA	NA	0	0.0344827586206897	NA	SERPINB5
NA	NA	0.0612600011400809	0.302	NA	NA	0	0.28735632183908	NA	LHX9
NA	NA	0.146443090471188	0.14	NA	NA	0	0.172413793103448	NA	KRT14
NA	NA	0.129109730660019	0.202	NA	NA	0	0.126436781609195	NA	HP
NA	NA	0.138806307258318	0.285	NA	NA	0	0.0344827586206897	NA	NPPB
NA	NA	0.352686694892299	0.124	NA	NA	0	0.0459770114942529	NA	EPCAM
NA	NA	0.0173405146098254	0.435	NA	NA	0	0.298850574712644	NA	AGR2
