Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003700~transcription factor activity, sequence-specific DNA binding	162	9.358752166377817	3.638618943170142E-7	AKNA, CDX1, ZNF583, LMO4, STAT5B, REST, PTTG1, ZNF829, BATF, ZNF304, TBPL2, FOXF1, ZNF772, PATZ1, ZNF43, PHOX2B, TAF4B, MTA2, ZNF790, EOMES, ZNF649, ZNF8, ZNF793, SIX4, AHR, HOXD9, HHEX, ASCL1, HOXD8, TGIF1, TFAP2C, NFE2L3, ZNF382, ZNF613, CAMTA2, ZNF132, ONECUT1, ZNF841, SOX9, TCF21, DRAP1, SKIL, BHLHE40, ZNF420, PLAGL2, KLF5, ZNF528, ZNF624, BHLHE22, MAFB, RFX6, TEAD2, TFCP2, MYPOP, ZNF585A, FEZF2, HOXB4, GCM2, HOXB2, HDAC1, ZNF211, EBF3, DMTF1, ZNF418, RFX3, KLF2, KLF4, ZNF85, E2F2, ZNF83, HNF1B, FOSL2, SOX21, HNF1A, FOXA3, ZNFX1, ELF5, TBX21, PPARG, PAX6, ZNF155, ZNF154, ZEB1, ZNF880, ZNF345, FUBP1, PCGF2, ZNF350, FUBP3, HSF5, NR2F6, ZNF540, POU4F2, ZNF879, SOX18, POU4F1, SOX17, NR2F2, NFIL3, SSBP4, SOX10, ZNF93, ZNF90, FOXJ1, ZNF544, ZNF287, PTF1A, ZFP28, ZNF549, PURA, MYCN, ZNF334, ZFP37, FOXD4L3, HOXC11, BTG2, ZNF480, FOXC1, ZNF551, TBX18, TBX19, ZNF655, ZNF175, TSC22D1, ZNF660, ZFP36L1, ZNF30, ZFP36L2, PGBD1, HAND2, ETV1, CC2D1B, ZNF471, BCL6, ZNF750, ZSCAN23, ZNF268, ZNF606, FOXD1, ZNF470, INSM1, ZNF263, MAF, ZNF568, ZNF454, CEBPE, ZNF567, CEBPG, TRIM29, ZNF260, ISL1, SNAI2, MSRB2, PLSCR1, MEOX2, SP1, IRF1, ZNF461, NEUROD1, ID3, ZNF570, ZNF571	1389	1231	15478	1.466457760552186	6.700091747465775E-4	6.700091747465775E-4	6.19581140770542E-4
GOTERM_MF_FAT	GO:0001071~nucleic acid binding transcription factor activity	162	9.358752166377817	3.906145062557969E-7	AKNA, CDX1, ZNF583, LMO4, STAT5B, REST, PTTG1, ZNF829, BATF, ZNF304, TBPL2, FOXF1, ZNF772, PATZ1, ZNF43, PHOX2B, TAF4B, MTA2, ZNF790, EOMES, ZNF649, ZNF8, ZNF793, SIX4, AHR, HOXD9, HHEX, ASCL1, HOXD8, TGIF1, TFAP2C, NFE2L3, ZNF382, ZNF613, CAMTA2, ZNF132, ONECUT1, ZNF841, SOX9, TCF21, DRAP1, SKIL, BHLHE40, ZNF420, PLAGL2, KLF5, ZNF528, ZNF624, BHLHE22, MAFB, RFX6, TEAD2, TFCP2, MYPOP, ZNF585A, FEZF2, HOXB4, GCM2, HOXB2, HDAC1, ZNF211, EBF3, DMTF1, ZNF418, RFX3, KLF2, KLF4, ZNF85, E2F2, ZNF83, HNF1B, FOSL2, SOX21, HNF1A, FOXA3, ZNFX1, ELF5, TBX21, PPARG, PAX6, ZNF155, ZNF154, ZEB1, ZNF880, ZNF345, FUBP1, PCGF2, ZNF350, FUBP3, HSF5, NR2F6, ZNF540, POU4F2, ZNF879, SOX18, POU4F1, SOX17, NR2F2, NFIL3, SSBP4, SOX10, ZNF93, ZNF90, FOXJ1, ZNF544, ZNF287, PTF1A, ZFP28, ZNF549, PURA, MYCN, ZNF334, ZFP37, FOXD4L3, HOXC11, BTG2, ZNF480, FOXC1, ZNF551, TBX18, TBX19, ZNF655, ZNF175, TSC22D1, ZNF660, ZFP36L1, ZNF30, ZFP36L2, PGBD1, HAND2, ETV1, CC2D1B, ZNF471, BCL6, ZNF750, ZSCAN23, ZNF268, ZNF606, FOXD1, ZNF470, INSM1, ZNF263, MAF, ZNF568, ZNF454, CEBPE, ZNF567, CEBPG, TRIM29, ZNF260, ISL1, SNAI2, MSRB2, PLSCR1, MEOX2, SP1, IRF1, ZNF461, NEUROD1, ID3, ZNF570, ZNF571	1389	1232	15478	1.465267453928361	7.192532743904856E-4	3.5969132612023724E-4	6.651351332154221E-4
GOTERM_MF_FAT	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	86	4.968226458694396	1.4710839503289425E-5	AKNA, ZNF85, CDX1, HNF1B, ZNF486, ZNF583, HNF1A, FOSL2, ELF5, STAT5B, PAX6, ZNF154, ZNF253, BATF, ZNF304, ZNF350, FUBP3, ZNF682, FOXF1, ZNF772, ZNF737, NR2F6, ZNF492, POU4F2, POU4F1, SOX18, PATZ1, NFIL3, SSBP4, PHOX2B, SOX10, ZNF90, FOXJ1, MTA2, PTF1A, ZNF543, EOMES, ZNF8, ZNF141, SIX5, SIX4, ZNF793, ZNF549, HOXD9, HHEX, ASCL1, HOXD8, HOXC11, ZNF714, TGIF1, FOXC1, ZNF480, TFAP2C, ZNF551, NFE2L3, HMX3, ZNF660, ZNF695, HAND2, ETV1, BCL6, CC2D1B, SKIL, FOXD1, MUC1, KLF5, ACTB, INSM1, CEBPE, MAFB, RFX6, CEBPG, ISL1, ZNF626, MYPOP, FEZF2, MEOX2, SP1, HDAC1, ZNF211, SMARCC2, ZNF418, IRF1, NEUROD1, RFX3, ZNF570	1389	601	15478	1.5945442501039184	0.02673372049408751	0.008991851212375668	0.025046620656699048
GOTERM_MF_FAT	GO:0001012~RNA polymerase II regulatory region DNA binding	86	4.968226458694396	1.7846977978774324E-5	AKNA, ZNF85, CDX1, HNF1B, ZNF486, ZNF583, HNF1A, FOSL2, ELF5, STAT5B, PAX6, ZNF154, ZNF253, BATF, ZNF304, ZNF350, FUBP3, ZNF682, FOXF1, ZNF772, ZNF737, NR2F6, ZNF492, POU4F2, POU4F1, SOX18, PATZ1, NFIL3, SSBP4, PHOX2B, SOX10, ZNF90, FOXJ1, MTA2, PTF1A, ZNF543, EOMES, ZNF8, ZNF141, SIX5, SIX4, ZNF793, ZNF549, HOXD9, HHEX, ASCL1, HOXD8, HOXC11, ZNF714, TGIF1, FOXC1, ZNF480, TFAP2C, ZNF551, NFE2L3, HMX3, ZNF660, ZNF695, HAND2, ETV1, BCL6, CC2D1B, SKIL, FOXD1, MUC1, KLF5, ACTB, INSM1, CEBPE, MAFB, RFX6, CEBPG, ISL1, ZNF626, MYPOP, FEZF2, MEOX2, SP1, HDAC1, ZNF211, SMARCC2, ZNF418, IRF1, NEUROD1, RFX3, ZNF570	1389	604	15478	1.586624328331879	0.032339935861867675	0.00818492628192824	0.030385434706892145
GOTERM_MF_FAT	GO:0000976~transcription regulatory region sequence-specific DNA binding	94	5.430387059503177	4.5522548004505546E-5	AKNA, ZNF85, CDX1, HNF1B, ZNF486, ZNF583, HNF1A, FOSL2, ELF5, LMO4, STAT5B, PPARG, PAX6, ZNF154, REST, ZNF253, BATF, ZNF304, ZNF350, FUBP3, ZNF682, FOXF1, ZNF772, ZNF737, NR2F6, ZNF492, POU4F2, PATZ1, SOX18, POU4F1, NFIL3, SSBP4, PHOX2B, SOX10, ZNF90, FOXJ1, MTA2, PTF1A, ZNF543, EOMES, ZNF8, ZNF141, SIX5, SIX4, ZNF793, ZNF549, HOXD9, HHEX, ASCL1, HOXD8, HOXC11, ZNF714, TGIF1, FOXC1, ZNF480, TFAP2C, ZNF551, NFE2L3, TBX18, TBX19, HMX3, SOX9, ZNF660, ZNF695, HAND2, ETV1, BCL6, ZNF750, CC2D1B, SKIL, FOXD1, MUC1, KLF5, ACTB, INSM1, CEBPE, MAFB, RFX6, CEBPG, ZNF626, ISL1, MYPOP, FEZF2, MEOX2, HDAC1, SP1, ZNF211, SMARCC2, ZNF418, IRF1, NEUROD1, RFX3, ZNF570, KLF4	1389	692	15478	1.5136809864459397	0.08043490365641925	0.01663103995114923	0.07748738627393337
GOTERM_MF_FAT	GO:0044212~transcription regulatory region DNA binding	110	6.35470826112074	8.330193189516478E-5	AKNA, CDX1, ZNF583, LMO4, STAT5B, SNCA, REST, ZNF253, BATF, ZNF304, FOXF1, ZNF772, PATZ1, PHOX2B, MTA2, EOMES, ZNF649, ZNF8, SIX5, SIX4, ZNF793, AHR, HOXD9, ASCL1, HHEX, HOXD8, TGIF1, TFAP2C, NFE2L3, HMX3, ZNF382, ZNF613, SOX9, TCF21, ZNF695, BHLHE40, SKIL, KLF5, MUC1, MAFB, RFX6, MYPOP, ZNF626, HDAC5, FEZF2, HDAC1, DMTF1, ZNF211, SMARCC2, ZNF418, RFX3, KLF4, ZNF85, E2F2, HNF1B, ZNF486, HNF1A, FOSL2, FOXA3, TBX21, ELF5, PPARG, PAX6, ZNF154, ZEB1, ZNF350, FUBP3, ZNF682, ZNF737, NR2F6, POU4F2, ZNF492, POU4F1, SOX18, SOX17, NFIL3, SSBP4, SOX10, ZNF90, FOXJ1, PTF1A, ZNF543, ZNF141, ZNF549, PURA, HOXC11, ZNF714, FOXC1, ZNF480, ZNF551, TBX18, TBX19, ZNF660, HAND2, ETV1, BCL6, ZNF750, CC2D1B, FOXD1, ACTB, INSM1, CEBPE, ZNF567, CEBPG, ISL1, MEOX2, SP1, IRF1, NEUROD1, ZNF570	1389	853	15478	1.436998287499251	0.1422551058930368	0.025250494393636136	0.14175162667661168
GOTERM_MF_FAT	GO:0000975~regulatory region DNA binding	110	6.35470826112074	9.575359321473519E-5	AKNA, CDX1, ZNF583, LMO4, STAT5B, SNCA, REST, ZNF253, BATF, ZNF304, FOXF1, ZNF772, PATZ1, PHOX2B, MTA2, EOMES, ZNF649, ZNF8, SIX5, SIX4, ZNF793, AHR, HOXD9, ASCL1, HHEX, HOXD8, TGIF1, TFAP2C, NFE2L3, HMX3, ZNF382, ZNF613, SOX9, TCF21, ZNF695, BHLHE40, SKIL, KLF5, MUC1, MAFB, RFX6, MYPOP, ZNF626, HDAC5, FEZF2, HDAC1, DMTF1, ZNF211, SMARCC2, ZNF418, RFX3, KLF4, ZNF85, E2F2, HNF1B, ZNF486, HNF1A, FOSL2, FOXA3, TBX21, ELF5, PPARG, PAX6, ZNF154, ZEB1, ZNF350, FUBP3, ZNF682, ZNF737, NR2F6, POU4F2, ZNF492, POU4F1, SOX18, SOX17, NFIL3, SSBP4, SOX10, ZNF90, FOXJ1, PTF1A, ZNF543, ZNF141, ZNF549, PURA, HOXC11, ZNF714, FOXC1, ZNF480, ZNF551, TBX18, TBX19, ZNF660, HAND2, ETV1, BCL6, ZNF750, CC2D1B, FOXD1, ACTB, INSM1, CEBPE, ZNF567, CEBPG, ISL1, MEOX2, SP1, IRF1, NEUROD1, ZNF570	1389	856	15478	1.431962078547735	0.16170613325006267	0.024883258736681513	0.16292387418580523
GOTERM_MF_FAT	GO:1990837~sequence-specific double-stranded DNA binding	96	5.545927209705372	9.719071507017183E-5	AKNA, ZNF85, CDX1, HNF1B, ZNF486, ZNF583, HNF1A, FOSL2, ELF5, LMO4, STAT5B, PPARG, PAX6, ZNF154, REST, ZNF253, BATF, ZNF304, ZNF350, FUBP3, ZNF682, FOXF1, ZNF772, ZNF737, NR2F6, ZNF492, POU4F2, PATZ1, SOX18, POU4F1, NFIL3, SSBP4, PHOX2B, SOX10, ZNF90, FOXJ1, MTA2, PTF1A, ZNF543, EOMES, ZNF8, ZNF141, SIX5, SIX4, ZNF793, ZNF549, PURA, HOXD9, HHEX, ASCL1, HOXD8, HOXC11, ZNF714, TGIF1, FOXC1, ZNF480, TFAP2C, ZNF551, NFE2L3, TBX18, TBX19, HMX3, SOX9, ZNF660, ZNF695, HAND2, ETV1, BCL6, ZNF750, CC2D1B, SKIL, FOXD1, MUC1, KLF5, ACTB, INSM1, CRIP1, CEBPE, MAFB, RFX6, CEBPG, ZNF626, ISL1, MYPOP, FEZF2, MEOX2, HDAC1, SP1, ZNF211, SMARCC2, ZNF418, IRF1, NEUROD1, RFX3, ZNF570, KLF4	1389	725	15478	1.4755224547553438	0.16392252564794163	0.02213069191343031	0.1653672198564271
GOTERM_MF_FAT	GO:0001067~regulatory region nucleic acid binding	110	6.35470826112074	1.023882237351664E-4	AKNA, CDX1, ZNF583, LMO4, STAT5B, SNCA, REST, ZNF253, BATF, ZNF304, FOXF1, ZNF772, PATZ1, PHOX2B, MTA2, EOMES, ZNF649, ZNF8, SIX5, SIX4, ZNF793, AHR, HOXD9, ASCL1, HHEX, HOXD8, TGIF1, TFAP2C, NFE2L3, HMX3, ZNF382, ZNF613, SOX9, TCF21, ZNF695, BHLHE40, SKIL, KLF5, MUC1, MAFB, RFX6, MYPOP, ZNF626, HDAC5, FEZF2, HDAC1, DMTF1, ZNF211, SMARCC2, ZNF418, RFX3, KLF4, ZNF85, E2F2, HNF1B, ZNF486, HNF1A, FOSL2, FOXA3, TBX21, ELF5, PPARG, PAX6, ZNF154, ZEB1, ZNF350, FUBP3, ZNF682, ZNF737, NR2F6, POU4F2, ZNF492, POU4F1, SOX18, SOX17, NFIL3, SSBP4, SOX10, ZNF90, FOXJ1, PTF1A, ZNF543, ZNF141, ZNF549, PURA, HOXC11, ZNF714, FOXC1, ZNF480, ZNF551, TBX18, TBX19, ZNF660, HAND2, ETV1, BCL6, ZNF750, CC2D1B, FOXD1, ACTB, INSM1, CEBPE, ZNF567, CEBPG, ISL1, MEOX2, SP1, IRF1, NEUROD1, ZNF570	1389	857	15478	1.430291177639278	0.17188957001540228	0.0207384671979286	0.17420337733435876
GOTERM_MF_FAT	GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	53	3.0618139803581745	1.1786741419166804E-4	AKNA, FOSL2, HNF1A, STAT5B, PAX6, REST, BATF, FUBP3, POU4F2, POU4F1, SOX18, PATZ1, NFIL3, PHOX2B, SSBP4, FOXJ1, PTF1A, SIX4, ASCL1, HHEX, HOXC11, BTG2, TGIF1, TFAP2C, NFE2L3, CAMTA2, ONECUT1, SOX9, TCF21, HAND2, ETV1, ZNF750, CC2D1B, BHLHE40, SKIL, FOXD1, PLAGL2, KLF5, INSM1, CEBPE, MAFB, CEBPG, ISL1, SNAI2, MYPOP, PLSCR1, GCM2, SP1, MEOX2, EBF3, IRF1, NEUROD1, KLF4	1389	343	15478	1.7218461590128182	0.19517029711009137	0.021478438680149425	0.20051481014855543
