GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
C18orf8	5.85996217650296e-11	2.25022547577714e-09	5.92670848567998e-11	9.30037331599012e-10	0.231638418079096	0.474576271186441	0.293785310734463	9.6109243902439	8.99936666666667	8.76627307692308	0.700681743185079	-0.433684523076922
ESCO1	2.15248913876106e-10	6.80693035881145e-09	8.36132439778907e-07	3.81164285396418e-06	0.259887005649718	0.491525423728814	0.248587570621469	9.53425869565217	8.99156321839081	8.80360227272727	0.605827397942249	-0.375660133287765
SNRPD1	4.39377189872677e-10	1.21757307873995e-08	4.39461526012849e-07	2.16241570990845e-06	0.265536723163842	0.491525423728814	0.242937853107345	10.1388531914894	9.56572298850575	9.37125348837209	0.637454729950901	-0.395492780284624
RIOK3	1.06393244618905e-08	1.72280145503383e-07	1.95645467747254e-05	6.31430593335898e-05	0.225988700564972	0.485875706214689	0.288135593220339	11.8560225	11.0913906976744	10.9241549019608	0.826887463503649	-0.409976050420168
NPC1	1.05041293310129e-06	7.82135724148548e-06	0.000389275034629617	0.000915413337918638	0.23728813559322	0.474576271186441	0.288135593220339	10.6447333333333	10.0263904761905	9.88295882352941	0.672528148148148	-0.34954593837535
RBBP8	3.97596031763853e-06	2.4179595777856e-05	0.00360990371684742	0.0068504219370872	0.27683615819209	0.457627118644068	0.265536723163842	9.6630693877551	9.21570987654321	9.12542127659574	0.480512356505102	-0.258908723404256
ABHD3	7.8034270617824e-06	4.23749736203456e-05	0.0438489661647654	0.0644891974595048	0.265536723163842	0.491525423728814	0.242937853107345	9.66007446808511	9.02569885057471	8.99116744186047	0.645797545008184	-0.257036289482818
CABLES1	8.72404279867983e-05	0.000339926757196478	0.011502693959914	0.0195071664799928	0.265536723163842	0.463276836158192	0.271186440677966	9.23677234042553	8.61895975609756	8.57078333333333	0.635600801963992	-0.273270930232558
GREB1L	0.000245127174527769	0.000836169854226703	0.166583736828632	0.211842591042334	0.259887005649718	0.474576271186441	0.265536723163842	5.30044782608696	4.11281309523809	4.17906170212766	1.16386614669764	-0.353991374795417
GATA6	0.000482946632290095	0.00150773582763737	0.0191001394931264	0.030720855111152	0.299435028248588	0.474576271186441	0.225988700564972	10.1466698113208	9.66951666666667	9.57041	0.509123037127207	-0.283698759124087
MIB1	0.00297946604132131	0.00742492595671395	0.115349643804789	0.153215370609942	0.282485875706215	0.474576271186441	0.242937853107345	10.559848	10.2445666666667	10.2104720930233	0.326825165354331	-0.151736862200625
ROCK1	0.0102777669610336	0.0222795464445631	0.0336732031410393	0.0508437986260082	0.214689265536723	0.508474576271186	0.27683615819209	10.6520842105263	10.43286	10.2937734693878	0.268254714123437	-0.204168718112244
LAMA3	0.0943523053733994	0.15042645127147	0.695590328104542	0.739385637516248	0.225988700564972	0.463276836158192	0.310734463276836	12.379015	11.6899256097561	11.9959254545455	0.566242737226275	0.080068897168406
ANKRD30B	0.390545857186326	0.491243455365861	0.751556629379303	0.790466435540508	0.214689265536723	0.508474576271186	0.27683615819209	0.546936842105263	0.751294444444444	0.634161224489796	-0.163066035592579	-0.056464556760204
ANKRD29	0.435817181391783	0.53540977311751	0.0154495555337237	0.0254683582131687	0.231638418079096	0.474576271186441	0.293785310734463	6.20563902439024	6.15494880952381	5.74328076923077	0.208092700860832	-0.428294430769231
CTAGE1	0.61538657061739	0.697957426928077	0.948139725522554	0.956146672741179	0.27683615819209	0.474576271186441	0.248587570621469	3.18044285714286	3.10334642857143	3.12365681818182	0.0701147321428568	-0.00809355775803144
